Title,Subtitle,Price,URL,Bedrooms,Review_rating,Superhost,Check_in,Check_out,Competitor,Livinparis,Listing_id
Apartment in Bonne-Nouvelle,167 Suite K - Superb apartment in Paris,"€ 1,448 total",https://www.airbnb.comwww.airbnb.com/rooms/48796305?adults=6&search_mode=regular_search&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1716141278_i74gT9o%2F9y6zQZN6&previous_page_section_name=1000,2,4.5 (141),N/A,2024-07-01,2024-07-05,No,No,48796305
Apartment in Bonne-Nouvelle,Luxury central 3 bedrooms flat Grands Boulevards,"€ 1,854 total",https://www.airbnb.comwww.airbnb.com/rooms/751953833448138766?adults=6&search_mode=regular_search&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1716141278_kerjcb6wua0PFHGR&previous_page_section_name=1000,2,4.41 (34),N/A,2024-07-01,2024-07-05,No,No,751953833448138766
Apartment in Bonne-Nouvelle,Apartment 10P/Full Equipped/GOOD NEWS/STOCK EXCHANGE,"€ 2,253 total",https://www.airbnb.comwww.airbnb.com/rooms/53470087?adults=6&search_mode=regular_search&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1716141278_ZfIjQekUQiLNyI%2Fo&previous_page_section_name=1000,2,4.79 (78),N/A,2024-07-01,2024-07-05,No,No,53470087
Apartment in Bonne-Nouvelle,Charming family apartment in the heart of Paris,"€ 2,213 total",https://www.airbnb.comwww.airbnb.com/rooms/686531826462022081?adults=6&search_mode=regular_search&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1716141278_%2BymBkCGL8QO9dI2i&previous_page_section_name=1000,2,4.92 (71),Guest favorite,2024-07-01,2024-07-05,Yes,No,686531826462022081
Apartment in Palais-Royal,"Colonnade, 3br/2ba, 6 people","€ 2,439 total",https://www.airbnb.comwww.airbnb.com/rooms/903575193975931845?adults=6&search_mode=regular_search&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1716141278_5tSiWRo9e9Wz9334&previous_page_section_name=1000,2,4.71 (7),Guest favorite,2024-07-01,2024-07-05,No,No,903575193975931845
Apartment in Bonne-Nouvelle,Charming Apartment Sentier,"€ 1,749 total",https://www.airbnb.comwww.airbnb.com/rooms/968543245608749993?adults=6&search_mode=regular_search&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1716141278_VHSaWHdlq2drJOO6&previous_page_section_name=1000,2,5.0 (5),Guest favorite,2024-07-01,2024-07-05,No,No,968543245608749993
Apartment in Bonne-Nouvelle,"Apartment in the heart of Paris, bright and quiet",€ 915 total,https://www.airbnb.comwww.airbnb.com/rooms/18593731?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-01&check_out=2024-07-07&source_impression_id=p3_1716141279_nR6L3gjSQ8kUSifX&previous_page_section_name=1000,2,4.89 (18),Jul 1 – 7,2024-07-01,2024-07-05,No,No,18593731
Apartment in Bonne-Nouvelle,LivinParis | Luxury 4 Bedrooms Opera,"€ 2,000 total",https://www.airbnb.comwww.airbnb.com/rooms/24686063?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-03&check_out=2024-07-06&source_impression_id=p3_1716141279_BVp3dCXTRELpkOd4&previous_page_section_name=1000,2,4.79 (288),Jul 3 – 6,2024-07-01,2024-07-05,No,No,24686063
Apartment in Bonne-Nouvelle,Superhost charming 2 bedrooms in heart of Paris,"€ 2,463 total",https://www.airbnb.comwww.airbnb.com/rooms/18066859?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-29&check_out=2024-07-04&source_impression_id=p3_1716141279_0q4eRAcP%2FwxbkGHg&previous_page_section_name=1000,2,4.88 (237),Jun 29 – Jul 4,2024-07-01,2024-07-05,No,No,18066859
Apartment in Paris,The most beautiful apartment in the 2nd district,"€ 3,070 total",https://www.airbnb.comwww.airbnb.com/rooms/1107077130499002026?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-03&check_out=2024-07-06&source_impression_id=p3_1716141279_RrYZC7kngh9%2FyZIJ&previous_page_section_name=1000,2,5.0 (10),Jul 3 – 6,2024-07-01,2024-07-05,No,No,1107077130499002026
Apartment in Paris,3 bedroom 3 bathroom apartment with AC,"€ 3,150 total",https://www.airbnb.comwww.airbnb.com/rooms/932607956634548337?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-02&check_out=2024-07-05&source_impression_id=p3_1716141279_U%2FbNhlsZVjA%2FReqr&previous_page_section_name=1000,2,4.97 (29),Jul 2 – 5,2024-07-01,2024-07-05,Yes,No,932607956634548337
Apartment in Bonne-Nouvelle,LivinParis | LUX AC 2 BDR Louvre - Sacré Cœur View,"€ 1,393 total",https://www.airbnb.comwww.airbnb.com/rooms/27747787?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-01&check_out=2024-07-03&source_impression_id=p3_1716141279_gWljjoKJOXrFvjaL&previous_page_section_name=1000,2,4.84 (243),Jul 1 – 3,2024-07-01,2024-07-05,No,Yes,27747787
Apartment in Paris,Louvre Montorgueuil Historical center 3BR II,"€ 2,449 total",https://www.airbnb.comwww.airbnb.com/rooms/1078307026615081014?adults=6&search_mode=regular_search&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1716141278_OZKKsta%2Fi98FFtYN&previous_page_section_name=1000,2,4.9 (10),Superhost,2024-07-01,2024-07-05,No,No,1078307026615081014
Apartment in Opéra,Luxury typical Parisian flat - 5 min from Louvre,"€ 2,283 total",https://www.airbnb.comwww.airbnb.com/rooms/1149236056061519646?adults=6&search_mode=regular_search&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1716141278_K09Tg39m61cJCqke&previous_page_section_name=1000,2,New,N/A,2024-07-01,2024-07-05,No,No,1149236056061519646
