Title,Subtitle,Price,URL,Bedrooms,Review_rating,Superhost,Check_in,Check_out,Competitor,Livinparis,Listing_id
Apartment in Opéra,Lovely duplex in the heart of Paris 10P,"€ 1,601 total",https://www.airbnb.comwww.airbnb.com/rooms/927998380309927216?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141277_6Tn8tbZOoxLB0nFd&previous_page_section_name=1000,2,4.45 (11),N/A,2024-10-04,2024-10-06,No,No,927998380309927216
Apartment in Paris,Central & Stylish Parisian apartment / 6-8 guests,"€ 1,242 total",https://www.airbnb.comwww.airbnb.com/rooms/30786292?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141278_6W%2FnrcBHQ39W56Po&previous_page_section_name=1000,2,4.67 (168),N/A,2024-10-04,2024-10-06,No,No,30786292
Apartment in Bonne-Nouvelle,Beautiful Loft for 6P - Centre de Paris,"€ 1,047 total",https://www.airbnb.comwww.airbnb.com/rooms/710834800579342576?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141278_lGr0lkWeXkMe9gv8&previous_page_section_name=1000,2,4.39 (116),N/A,2024-10-04,2024-10-06,No,No,710834800579342576
Apartment in Bonne-Nouvelle,Superb and new apartment in the Center of Paris,"€ 1,857 total",https://www.airbnb.comwww.airbnb.com/rooms/1096276964031121612?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141278_RJIEL3U7C3HHCnjj&previous_page_section_name=1000,2,4.89 (9),Guest favorite,2024-10-04,2024-10-06,No,No,1096276964031121612
Apartment in Opéra,2 bedroom duplex with sunny terrace,"€ 1,000 total",https://www.airbnb.comwww.airbnb.com/rooms/929779501544846945?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141278_TDCi8sj9fC56%2BTm0&previous_page_section_name=1000,2,4.86 (14),Guest favorite,2024-10-04,2024-10-06,No,No,929779501544846945
Apartment in Temple,Marais - République,"€ 1,088 total",https://www.airbnb.comwww.airbnb.com/rooms/1087571858519406095?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141278_Vgx5cUbLWPt%2FXgZc&previous_page_section_name=1000,2,4.89 (9),Guest favorite,2024-10-04,2024-10-06,No,No,1087571858519406095
Apartment in Place Vendôme,"Luxury Apartment, 300m2, Palais Royal Center Paris","€ 1,992 total",https://www.airbnb.comwww.airbnb.com/rooms/3600767?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141278_DCLTk4FkmweQ%2BTKB&previous_page_section_name=1000,2,4.73 (151),N/A,2024-10-04,2024-10-06,No,No,3600767
Apartment in Les Halles,Superb apartment in Paris - Louvre / Halles I,"€ 1,242 total",https://www.airbnb.comwww.airbnb.com/rooms/719382357400893205?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141278_5fwOR7mX5PLSx6kH&previous_page_section_name=1000,2,4.54 (69),N/A,2024-10-04,2024-10-06,No,No,719382357400893205
Apartment in Paris,Charming Loft in the Heart of the 10th,"€ 1,314 total",https://www.airbnb.comwww.airbnb.com/rooms/985967169694325709?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141278_Ze6Bx9YC20b4TGdd&previous_page_section_name=1000,2,4.93 (14),Guest favorite,2024-10-04,2024-10-06,No,No,985967169694325709
Apartment in Les Halles,"Elegant,Cosy,Le Louvre","€ 1,013 total",https://www.airbnb.comwww.airbnb.com/rooms/817264289707401874?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141278_56R1rr%2BtkW1t1K3B&previous_page_section_name=1000,2,4.46 (26),N/A,2024-10-04,2024-10-06,No,No,817264289707401874
