Title,Subtitle,Detail,Price,URL,Bedrooms,Review_rating,Superhost,Check_in,Check_out,Competitor,Livinparis,Listing_id
Apartment in Buttes-Montmartre,N/A,Little Parisian house in Montmartre (backyard),€ 698 total,https://www.airbnb.com/rooms/1046881324098102503?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711708198_75ng8mm47G1TEFe7&previous_page_section_name=1000&federated_search_id=67159363-6e62-40d8-a5b2-22b1702a9888,2,4.62 (61),Superhost,2024-06-03,2024-06-07,No,No,1046881324098102503
Apartment in Bonne-Nouvelle,N/A,"5 beds
5 beds
3 bedrooms
,
 · 3 bedrooms","€ 2,886 total",https://www.airbnb.com/rooms/777489341031566750?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711708198_bIxul53QTbt3c4JJ&previous_page_section_name=1000&federated_search_id=67159363-6e62-40d8-a5b2-22b1702a9888,2,New,Superhost,2024-06-03,2024-06-07,No,No,777489341031566750
Apartment in Temple,N/A,Amazing Apartment - 8P/3BR - Trail/Bonne-New,"€ 2,645 total",https://www.airbnb.com/rooms/1097620132932768224?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711708198_8xPkuPCostQHa2rl&previous_page_section_name=1000&federated_search_id=67159363-6e62-40d8-a5b2-22b1702a9888,2,New,Superhost,2024-06-03,2024-06-07,No,No,1097620132932768224
Apartment in Bonne-Nouvelle,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 3,328 total",https://www.airbnb.com/rooms/1096276964031121612?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711708198_rD%2BSe%2BGvKAoRB2mt&previous_page_section_name=1000&federated_search_id=67159363-6e62-40d8-a5b2-22b1702a9888,2,4.86 (7),Jun 1 – 8,2024-06-03,2024-06-07,No,No,1096276964031121612
Apartment in Paris,N/A,Superb apartment in the center of Paris,"€ 2,576 total",https://www.airbnb.com/rooms/978866370139112379?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711708198_kxkIGjyK%2FE8NUPls&previous_page_section_name=1000&federated_search_id=67159363-6e62-40d8-a5b2-22b1702a9888,2,New,Jun 1 – 5,2024-06-03,2024-06-07,Yes,No,978866370139112379
Apartment in Bonne-Nouvelle,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 1,306 total",https://www.airbnb.com/rooms/1094196282145195783?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711708198_3YlK4nl9ea64Gm8c&previous_page_section_name=1000&federated_search_id=67159363-6e62-40d8-a5b2-22b1702a9888,2,4.52 (132),Jun 4 – 8,2024-06-03,2024-06-07,No,No,1094196282145195783
Apartment in Bonne-Nouvelle,N/A,Superb and new apartment in the Center of Paris,"€ 1,853 total",https://www.airbnb.com/rooms/48796305?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711708198_V30C0p9rPIcTX5iA&previous_page_section_name=1000&federated_search_id=67159363-6e62-40d8-a5b2-22b1702a9888,2,4.73 (132),Jun 1 – 5,2024-06-03,2024-06-07,No,No,48796305
Apartment in Opéra,N/A,"3 beds
3 beds
3 bedrooms
,
 · 3 bedrooms","€ 1,591 total",https://www.airbnb.com/rooms/615159845480893457?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711708198_H1s4wgyA2DzaoUu6&previous_page_section_name=1000&federated_search_id=67159363-6e62-40d8-a5b2-22b1702a9888,2,4.36 (25),Jun 4 – 7,2024-06-03,2024-06-07,No,No,615159845480893457
Apartment in Paris,N/A,Industrial-style apartment in the heart of trail-II,"€ 1,402 total",https://www.airbnb.com/rooms/920156165756301984?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711708198_CTPcyC04IarK0v%2Be&previous_page_section_name=1000&federated_search_id=67159363-6e62-40d8-a5b2-22b1702a9888,2,4.7 (23),Jun 3 – 6,2024-06-03,2024-06-07,No,No,920156165756301984
Apartment in Bonne-Nouvelle,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 1,101 total",https://www.airbnb.com/rooms/36233506?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711708198_FlpiVjidCfRPxtnk&previous_page_section_name=1000&federated_search_id=67159363-6e62-40d8-a5b2-22b1702a9888,2,4.82 (99),N/A,2024-06-03,2024-06-07,No,No,36233506
Apartment in Buttes-Montmartre,N/A,251 Suite Foy - Superb apartment in Paris,"€ 1,609 total",https://www.airbnb.com/rooms/12745392?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711708198_%2FjpPJ%2FvHmu7u7zaE&previous_page_section_name=1000&federated_search_id=67159363-6e62-40d8-a5b2-22b1702a9888,2,4.62 (34),N/A,2024-06-03,2024-06-07,No,No,12745392
Condo in Opéra,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms","€ 3,177 total",https://www.airbnb.com/rooms/43079986?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711708198_Wi25iNJ0tmluc7tJ&previous_page_section_name=1000&federated_search_id=67159363-6e62-40d8-a5b2-22b1702a9888,2,New,N/A,2024-06-03,2024-06-07,No,No,43079986
Apartment in Temple,N/A,167 Suite K - Superb apartment in Paris,"€ 2,248 total",https://www.airbnb.com/rooms/1117316307067713903?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711708198_aBUTPmkl1FmLgvkn&previous_page_section_name=1000&federated_search_id=67159363-6e62-40d8-a5b2-22b1702a9888,2,4.76 (274),N/A,2024-06-03,2024-06-07,No,No,1117316307067713903
Apartment in Opéra,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms","€ 3,147 total",https://www.airbnb.com/rooms/13385996?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711708198_OWqfSlOcu3RORmGp&previous_page_section_name=1000&federated_search_id=67159363-6e62-40d8-a5b2-22b1702a9888,2,4.76 (38),N/A,2024-06-03,2024-06-07,No,Yes,13385996
Apartment in Bonne-Nouvelle,N/A,"2 beds, 1 sofa bed / Musée Grévin - Folies Bergère","€ 2,093 total",https://www.airbnb.com/rooms/873017003912847803?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711708198_rnGOI5K7Zwmcoy3F&previous_page_section_name=1000&federated_search_id=67159363-6e62-40d8-a5b2-22b1702a9888,2,4.83 (271),N/A,2024-06-03,2024-06-07,Yes,No,873017003912847803
