Title,Subtitle,Detail,Price,URL,Bedrooms,Review_rating,Superhost,Competitor,Livinparis,Listing_id
Apartment in Temple,N/A,Saint-Denis/Trail: Luxurious apartment 3BR-8P,"€ 2,145 total",https://www.airbnb.com/rooms/867209627146280811?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_JWjj%2FnIsgDpG77ra&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,4.71 (38),Superhost,Yes,No,867209627146280811
Apartment in Paris,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 4,760 total",https://www.airbnb.com/rooms/655358045040192170?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_bgc5ixol7l83tk8q&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,4.43 (7),Guest favorite,No,No,655358045040192170
Apartment in Buttes-Chaumont,N/A,Parisian Home |502254|5 chambres | Montorgueil,"€ 1,639 total",https://www.airbnb.com/rooms/1110133375253872228?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_mgUdLRa0UE9YQ30T&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,New,Guest favorite,No,No,1110133375253872228
Apartment in Bonne-Nouvelle,N/A,"7 beds
7 beds
6 bedrooms
,
 · 6 bedrooms","€ 2,853 total",https://www.airbnb.com/rooms/777489341031566750?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_OIBTvZidndrUNsUc&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,4.62 (61),Jun 30 – Jul 5,No,No,777489341031566750
Apartment in Opéra,N/A,Sublim apart «la marquise »paris centterrace 2bh,"€ 2,769 total",https://www.airbnb.com/rooms/922311640745574824?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_d0Apfz5pBGUYekuC&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,5.0 (16),Jun 30 – Jul 5,No,No,922311640745574824
Apartment in Paris,N/A,"4 bedrooms
4 bedrooms","€ 2,851 total",https://www.airbnb.com/rooms/1038550168200142322?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_teiikfrbEBfYao5V&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,New,Jun 30 – Jul 5,Yes,No,1038550168200142322
Apartment in Bonne-Nouvelle,N/A,Amazing Apartment - 8P/3BR - Trail/Bonne-New,"€ 2,138 total",https://www.airbnb.com/rooms/1080159116863609212?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_K%2BrGGoEJlO8yr612&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,5.0 (16),Jul 1 – 6,No,No,1080159116863609212
Apartment in Opéra,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 4,061 total",https://www.airbnb.com/rooms/922890445850033279?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_kxh%2BICqvCY5MXa6K&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,New,Jul 1 – 6,No,No,922890445850033279
Apartment in Bonne-Nouvelle,N/A,Duplex with balcony in the heart of Paris,"€ 1,562 total",https://www.airbnb.com/rooms/1001085794604005845?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_f4P3r%2BuORfZuxZb7&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,4.96 (48),Jul 2 – 5,No,No,1001085794604005845
Apartment in Place Vendôme,N/A,"4 beds
4 beds
4 bedrooms
,
 · 4 bedrooms","€ 4,355 total",https://www.airbnb.com/rooms/612080162106232567?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-06-30&check_out=2024-07-05&source_impression_id=p3_1711272680_ECltqv9VZqsCAeNV&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,4.72 (67),Guest favorite,Yes,No,612080162106232567
